date,title,source
Oct-31-18,"Transocean (RIG) Q3 Earnings and Revenues Beat, Shares Up",Zacks
Nov-01-18,Parsley Energy (PE) Tops Q3 Earnings and Revenue Estimates,Zacks
Nov-01-18,Parsley Energy: 3Q Earnings Snapshot,Associated Press
Nov-01-18,Parsley Energy Announces Third Quarter 2018 Financial And Operating Results,PR Newswire
Nov-01-18,Parsley Energy LLC -- Moody's upgrades Parsley Energy to Ba3,Moody's
Nov-02-18,Edited Transcript of PE earnings conference call or presentation 2-Nov-18 1:00pm GMT,Thomson Reuters StreetEvents
Nov-02-18,Whiting (WLL) Q3 Earnings Beat on Crude Rally and Low Costs,Zacks
Nov-06-18,"Consolidated Research: 2018 Summary Expectations for Builders FirstSource, American International Group, CNO Financial Group, Carter's, Parsley Energy, and Santander Consumer  Fundamental Analysis, Key Performance Indications",GlobeNewswire
Nov-07-18,"Parsley Energy (PE) Q3 Earnings Beat on Production, Oil Price",Zacks
Dec-03-18,Edited Transcript of PE earnings conference call or presentation 2-Nov-18 1:00pm GMT,Thomson Reuters StreetEvents
Dec-11-18,Can the U.S. Sustain a Rising Tide of Oil Exports?,Zacks
Dec-19-18,Which Energy Stocks are Insiders Buying Like Crazy?,Zacks
Dec-19-18,Parsley Energy Provides Preliminary 2019 Outlook,PR Newswire
Dec-20-18,OPEC Is About To End This Big Mystery As Crude Oil Resumes Collapse,Investor's Business Daily
Dec-20-18,What Does Parsley Energy's 2019 Capital Budget Plan Reveal?,Zacks
Dec-20-18,"Zacks Market Edge Highlights: Diamondback, Pioneer, Berry, Magnolia and Parsley",Zacks
Dec-21-18,U.S. shale producers hit the brakes on 2019 spending,Reuters
Dec-21-18,U.S. shale producers hit the brakes on 2019 spending,Reuters
Dec-27-18,Christmas Comes a Day Late,Zacks
Dec-31-18,[$$] Shale Drillers Cut Budgets as Oil Prices Drop,The Wall Street Journal
Jan-04-19,"The Zacks Analyst Blog Highlights: Chevron, Diamondback, Concho and Parsley",Zacks
Jan-14-19,Heading Into Earnings Season with 3 Weeks of Gains,Zacks
Jan-23-19,Parsley Energy Schedules Fourth Quarter 2018 Earnings Release and Conference Call,PR Newswire
Jan-24-19,"Read This Before Judging Parsley Energy, Inc.s (NYSE:PE) ROE",Simply Wall St.
Jan-24-19,Energy Firms Step Into 2019 With Caution: Capex Cuts Galore,Zacks
Jan-29-19,Will US Oil Production Growth Decelerate in 2019?,Zacks
Feb-11-19,Apache Takes Cautious Step Toward 2019 With $2.4B Budget,Zacks
Feb-12-19,Stocks Take It Slow to Start the Week,Zacks
Feb-14-19,Parsley Energy (PE) Reports Next Week: Wall Street Expects Earnings Growth,Zacks
Feb-21-19,Parsley Energy: 4Q Earnings Snapshot,Associated Press
Feb-21-19,Parsley Energy (PE) Q4 Earnings and Revenues Miss Estimates,Zacks
Feb-21-19,Parsley Energy Announces Fourth Quarter 2018 Financial And Operating Results,PR Newswire
Feb-22-19,Parsley Energy Inc (PE) Q4 2018 Earnings Conference Call Transcript,Motley Fool
Feb-22-19,New pipelines drain West Texas crude stocks to four-month low,Reuters
Feb-25-19,Edited Transcript of PE earnings conference call or presentation 22-Feb-19 2:00pm GMT,Thomson Reuters StreetEvents
Feb-25-19,Parsley's (PE) Q4 Earnings Miss on Low Price Realizations,Zacks
Feb-26-19,Oil &amp; Gas Stock Roundup: Diamondback and Cabot Report Q4 Earnings,Zacks
Feb-27-19,"The Zacks Analyst Blog Highlights: Diamondback Energy, Cabot Oil &amp; Gas, HollyFrontier, Cimarex Energy and Parsley Energy",Zacks
Mar-04-19,"Investor Expectations to Drive Momentum within Parsley Energy, Fiat Chrysler Automobiles N.V, CyrusOne, Southwest Airlines, Fluor, and DINE BRANDS GLOBAL, INC  Discovering Underlying Factors of Influence",GlobeNewswire
Mar-19-19,Seaport Global Securities' Mike Kelly on energy's big run,CNBC Videos
Mar-20-19,Oil majors rush to dominate U.S. shale as independents scale back,Reuters
Mar-27-19,Parsley Energy to Boost 2019 Capital Efficiency &amp; Production,Zacks
Apr-04-19,Parsley Energy Schedules First Quarter 2019 Earnings Release and Conference Call,PR Newswire
