date,title,source
Oct-25-18,"Clearfield Sets Fiscal Fourth Quarter and Full Year 2018 Earnings Call for Thursday, November 8, 2018 at 5:00 p.m. ET",GlobeNewswire
Oct-31-18,Could Clearfield Incs (NASDAQ:CLFD) Investor Composition Influence The Stock Price?,Simply Wall St.
Nov-08-18,Clearfield: Fiscal 4Q Earnings Snapshot,Associated Press
Nov-08-18,Clearfield Reports Fiscal Fourth Quarter and Full Year 2018 Results,GlobeNewswire
Nov-14-18,"Clearfield Inc (CLFD) Files 10-K for the Fiscal Year Ended on September 30, 2018",GuruFocus.com
Nov-16-18,"Factors of Influence in 2018, Key Indicators and Opportunity within Brixmor Property Group, Ceragon Networks, Clearfield, Advanced Emissions Solutions, Rogers Communications, and Cambium Learning Group  New Research Emphasizes Economic Growth",GlobeNewswire
Nov-21-18,Edited Transcript of CLFD earnings conference call or presentation 8-Nov-18 10:00pm GMT,Thomson Reuters StreetEvents
Nov-23-18,"At US$12.28, Is Clearfield Inc (NASDAQ:CLFD) Worth Looking At Closely?",Simply Wall St.
Dec-06-18,Clearfields Kevin Morgan Elected 2019 Chairman of the Fiber Broadband Association,Business Wire
Dec-13-18,"Does Clearfield, Inc.s (NASDAQ:CLFD) 11% Earnings Growth Make It An Outperformer?",Simply Wall St.
Jan-07-19,"Have Insiders Been Buying Clearfield, Inc. (NASDAQ:CLFD) Shares?",Simply Wall St.
Jan-17-19,Earnings Preview: Clearfield (CLFD) Q1 Earnings Expected to Decline,Zacks
Jan-24-19,"Clearfield Sets Fiscal First Quarter 2019 Earnings Call for Thursday, January 31, 2019 at 5:00 p.m. ET",GlobeNewswire
Jan-25-19,"Does Clearfield, Inc.s (NASDAQ:CLFD) CEO Pay Reflect Performance?",Simply Wall St.
Jan-31-19,Clearfield (CLFD) Tops Q1 Earnings and Revenue Estimates,Zacks
Jan-31-19,Clearfield: Fiscal 1Q Earnings Snapshot,Associated Press
Jan-31-19,Clearfield Reports Fiscal First Quarter 2019 Results,GlobeNewswire
Feb-01-19,Edited Transcript of CLFD earnings conference call or presentation 31-Jan-19 10:00pm GMT,Thomson Reuters StreetEvents
Feb-12-19,"Does The Clearfield, Inc. (NASDAQ:CLFD) Share Price Tend To Follow The Market?",Simply Wall St.
Feb-12-19,Clearfield Partners with Sales Outsource Solutions to Address Growth in Canadian Market,Business Wire
Feb-19-19,Clearfield Launches New FieldSmart Fiber Active Cabinets,Business Wire
Feb-27-19,5 Affordable Breakout Stocks for Superlative Returns,Zacks
Feb-28-19,"Zacks.com featured expert Kevin Matras highlights: First, Clearfield, BioDelivery Sciences International, MGIC Investment and Kratos Defense &amp; Security Solutions",Zacks
Mar-01-19,Did You Manage To Avoid Clearfields 38% Share Price Drop?,Simply Wall St.
Mar-01-19,Will Clearfield Continue to Surge Higher?,Zacks
Mar-07-19,"Clearfield to Participate at the 31st Annual ROTH Conference on March 18, 2019",Business Wire
Mar-07-19,Verizon Adds BlackBerry Cylance's Solutions to MSS Portfolio,Zacks
Mar-08-19,Clearfield (CLFD) Upgraded to Strong Buy: What Does It Mean for the Stock?,Zacks
Mar-12-19,Badger Meter to Provide Smart Water Solution to Columbia,Zacks
Mar-12-19,Motorola Expands Public Safety and Commercial Portfolio,Zacks
Mar-14-19,Motorola Poised on Strong Foothold in Public Safety Domain,Zacks
Mar-18-19,Motorola Aims to Gain from Enhanced Public Safety Portfolio,Zacks
Mar-18-19,CommScope and Google's Joint ESC System Passes Lab Testing,Zacks
Mar-19-19,Motorola Introduces MOTOTRBO Nitro for Commercial Operations,Zacks
